iter	Passed	Remaining
167	1613	7990
168	1624	7990
169	1636	7991
170	1651	8007
171	1652	7955
172	1664	7956
173	1676	7960
174	1688	7961
175	1701	7963
176	1701	7913
177	1714	7918
178	1726	7918
179	1737	7914
180	1747	7909
181	1760	7914
182	1772	7911
183	1779	7890
184	1791	7891
185	1802	7888
186	1815	7893
187	1827	7895
188	1841	7900
189	1852	7895
190	1863	7894
191	1875	7893
192	1889	7899
193	1901	7899
194	1913	7897
195	1925	7898
196	1937	7896
197	1948	7891
198	1960	7890
199	1971	7886
200	1983	7885
201	1995	7883
202	2007	7882
203	2019	7879
204	2031	7876
205	2043	7877
206	2056	7877
207	2068	7874
208	2080	7873
209	2082	7833
210	2093	7826
211	2105	7825
212	2117	7825
213	2129	7822
214	2142	7821
215	2154	7819
216	2165	7812
217	2176	7808
218	2177	7765
219	2178	7724
220	2190	7721
221	2202	7718
222	2213	7711
223	2225	7708
224	2237	7705
225	2237	7664
226	2248	7656
227	2259	7651
228	2271	7648
229	2283	7643
230	2294	7638
231	2306	7635
232	2318	7631
233	2329	7626
234	2340	7618
235	2351	7613
236	2362	7605
237	2363	7567
238	2374	7560
239	2385	7554
240	2396	7548
241	2407	7541
242	2419	7538
243	2433	7538
244	2443	7530
245	2454	7523
246	2466	7520
247	2478	7516
248	2489	7508
249	2500	7502
250	2512	7498
251	2524	7493
252	2535	7486
253	2547	7482
254	2548	7446
255	2560	7441
256	2571	7435
257	2584	7432
258	2596	7428
259	2606	7418
260	2618	7414
261	2630	7410
262	2643	7406
263	2653	7398
264	2664	7391
265	2677	7387
266	2687	7378
267	2699	7373
268	2711	7368
269	2722	7361
270	2733	7352
271	2744	7346
272	2756	7341
273	2767	7332
274	2779	7327
275	2790	7320
276	2801	7311
277	2813	7308
278	2826	7303
279	2836	7294
280	2838	7261
281	2849	7254
282	2850	7220
283	2861	7213
284	2873	7208
285	2883	7199
286	2896	7196
287	2907	7189
288	2918	7180
289	2930	7173
290	2941	7166
291	2952	7159
292	2964	7152
293	2976	7148
294	2978	7117
295	2988	7108
296	3000	7101
297	3011	7094
298	3012	7063
299	3024	7056
300	3035	7048
301	3047	7043
302	3060	7039
303	3071	7031
304	3081	7021
305	3094	7017
306	3105	7011
307	3116	7002
308	3128	6995
309	3140	6990
310	3152	6983
311	3163	6975
312	3174	6967
313	3186	6961
314	3198	6956
315	3210	6949
316	3223	6944
317	3234	6937
318	3245	6928
319	3257	6923
320	3269	6916
321	3282	6912
322	3294	6904
323	3305	6896
324	3316	6887
325	3330	6886
326	3342	6879
327	3354	6872
328	3365	6864
329	3376	6855
330	3388	6848
331	3400	6842
332	3412	6834
333	3422	6824
334	3433	6815
335	3444	6807
336	3455	6798
337	3468	6793
338	3481	6788
339	3493	6781
340	3505	6774
341	3516	6766
342	3527	6757
343	3529	6730
344	3539	6720
345	3550	6711
346	3562	6704
347	3573	6695
348	3584	6686
349	3598	6683
350	3609	6673
351	3619	6663
352	3632	6657
353	3643	6649
354	3655	6641
355	3667	6633
356	3679	6627
357	3691	6619
358	3701	6609
359	3714	6603
360	3725	6594
361	3736	6585
362	3748	6577
363	3760	6570
364	3771	6560
365	3782	6552
366	3793	6543
367	3805	6535
368	3816	6526
369	3828	6518
370	3840	6511
371	3851	6502
372	3864	6496
373	3877	6489
374	3889	6482
375	3902	6476
376	3914	6468
377	3926	6460
378	3936	6450
379	3948	6441
380	3959	6432
381	3972	6426
382	3983	6417
383	3995	6409
384	3996	6383
385	4007	6374
386	4017	6364
387	4029	6355
388	4041	6347
389	4052	6338
390	4064	6330
391	4076	6322
392	4087	6313
393	4100	6306
394	4112	6298
395	4123	6289
396	4135	6281
397	4146	6272
398	4159	6264
399	4170	6255
400	4181	6245
401	4192	6237
402	4204	6227
403	4214	6217
404	4227	6210
405	4239	6202
406	4250	6192
407	4254	6173
408	4265	6163
409	4277	6155
410	4289	6146
